Number,Season,Episode,Title,Stars,Summary,,Director,Runtime (mins),,IMDB votes,,Notable Death Count,,Writer,Original Air Date,US viewers (million)
53,6,3,Oathbreaker,8.8,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs.",,Daniel Sackheim,52,,23399,,5,,David Benioff & D. B. Weiss,"May 8, 2016",7.28
54,6,4,Book of the Stranger,9.2,Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.,,Daniel Sackheim,59,,25572,,8,,David Benioff & D. B. Weiss,"May 15, 2016",7.82
55,6,5,The Door,9.7,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.,,Jack Bender,57,,51836,,5,,David Benioff & D. B. Weiss,"May 22, 2016",7.89
56,6,6,Blood of My Blood,8.5,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.,,Jack Bender,52,,23207,,0,,Bryan Cogman,"May 29, 2016",6.71
57,6,7,The Broken Man,8.7,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.,,Mark Mylod,51,,22411,,1,,Bryan Cogman,"June 5, 2016",7.8
58,6,8,No One,8.4,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.,,Mark Mylod,59,,26041,,4,,David Benioff & D. B. Weiss,"June 12, 2016",7.6
59,6,9,Battle of the Bastards,9.9,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,,Miguel Sapochnik,60,,159082,,4,,David Benioff & D. B. Weiss,"June 19, 2016",7.66
60,6,10,The Winds of Winter,9.9,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,,Miguel Sapochnik,68,,109392,,11,,David Benioff & D. B. Weiss,"June 26, 2016",8.89
61,7,1,Dragonstone,8.7,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south.",,Jeremy Podeswa,59,,36720,,2,,David Benioff & D. B. Weiss,"July 16, 2017",10.11
62,7,2,Stormborn,9,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.,,Mark Mylod,59,,30683,,2,,Bryan Cogman,"July 23, 2017",9.27
63,7,3,The Queen's Justice,9.3,Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.,,Mark Mylod,63,,31822,,2,,David Benioff & D. B. Weiss,"July 30, 2017",9.25
64,7,4,The Spoils of War,9.8,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,,Matt Shakman,50,,64201,,0,,David Benioff & D. B. Weiss,"August 6, 2017",10.17
65,7,5,Eastwatch,9,Darnerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,,Matt Shakman,59,,29870,,2,,Dave Hill,"August 13, 2017",10.72
66,7,6,Beyond the Wall,9.2,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.,,Alan Taylor,70,,44284,,3,,David Benioff & D. B. Weiss,"August 20, 2017",10.24
67,7,7,The Dragon and the Wolf,9.6,"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow.",,Jeremy Podeswa,80,,42505,,1,,David Benioff & D. B. Weiss,"August 27, 2017",12.07
68,8,1,Winterfell,7.6,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,,David Nutter,54,,120508,,1,,Dave Hill,"April 14, 2019",11.76
69,8,2,A Knight of the Seven Kingdoms,7.9,Jaime faces judgment and Winterfell prepares for the battle to come.,,David Nutter,58,,118605,,0,,Bryan Cogman,"April 21, 2019",10.29
70,8,3,The Long Night,7.5,The Night King and his army have arrived at Winterfell and the great battle begins.,,Miguel Sapochnik,82,,198482,,7,,David Benioff & D. B. Weiss,"April 28, 2019",12.02
71,8,4,The Last of the Starks,5.5,The Battle of Winterfell is over and a new chapter for Westeros begins.,,David Nutter,78,,151229,,2,,David Benioff & D. B. Weiss,"May 5, 2019",11.8
72,8,5,The Bells,6,Forces have arrived at King's Landing for the final battle.,,Miguel Sapochnik,78,,176140,,7,,David Benioff & D. B. Weiss,"May 12, 2019",12.4
73,8,6,The Iron Throne,4.1,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",,David Benioff & D. B. Weiss,80,,216879,,1,,David Benioff & D. B. Weiss,"May 19, 2019",13.61
